🌟 ラッキースポット マスタ（フォールバック用ストック）,,,,,
社長未入力の日に自動選定される候補プール。新規スポットは『スポット名』を追加するだけでOK。,,,,,
チェーン店なら『チェーン店?』列に●を入力。最終使用日と使用回数はシステムが自動更新。,,,,,
,,,,,
スポット名,カテゴリ,チェーン店?,ステータス,最終使用日,使用回数
CafeRob豊川店,カフェ,,active,,0
Haag cafe(ハーグカフェ),カフェ,,active,,0
mol cafe(モルカフェ),カフェ,,active,,0
WELL珈琲,カフェ,,active,,0
Cafe Mood Toyokawa,カフェ,,active,,0
Chaton Mignon(シャトンミニョン),カフェ,,active,,0
ショコラガーデン,カフェ,,active,,0
ウラニワ デ カフェ,カフェ,,active,,0
ミニチュアワールドカフェ,カフェ,,active,,0
みつばち村のさんぽ道,カフェ,,active,,0
茶房 遊菴,カフェ,,active,,0
nido(雑貨カフェ),カフェ,,active,,0
パティスリー ラ・ネージュ,スイーツ,,active,,0
CUSTARD BOYA(カスタードボウヤ),スイーツ,,active,,0
Pâtisserie Mone,スイーツ,,active,,0
ガトー・ラヴィ,スイーツ,,active,,0
キャロール,スイーツ,,active,,0
チーズ菓子専門店カラベル,スイーツ,,active,,0
ティラミス専門店 Pettira,スイーツ,,active,,0
Cleam D(クリームディー),スイーツ,,active,,0
abeille chiffoncake,スイーツ,,active,,0
宝珠まんじゅう(老舗),スイーツ,,active,,0
おきつね本舗,スイーツ,,active,,0
門前そば 山彦,グルメ,,active,,0
スバカマナ,グルメ,,active,,0
HANAO CAFE,グルメ,,active,,0
ロコフード,グルメ,,active,,0
アークリッシュ豊川,グルメ,,active,,0
豊川稲荷(妙厳寺),観光,,active,,0
砥鹿神社 里宮,観光,,active,,0
東三河ふるさと公園,観光,,active,,0
赤塚山公園(ぎょぎょランド),観光,,active,,0
アニアニまある,観光,,active,,0
佐奈川堤の桜,観光,,active,,0
御油の松並木,観光,,active,,0
菟足神社,観光,,active,,0
大社神社,観光,,active,,0
本宮山,観光,,active,,0
本宮の湯,体験,,active,,0
豊川コロナワールド,体験,,active,,0
保護猫カフェtormenta,体験,,active,,0
プロモンテファーム,体験,,active,,0
キッズランドUS 愛知豊川店,体験,,active,,0
ぎょぎょランド水の広場,体験,,active,,0
御幸浜パターゴルフ,体験,,active,,0
音羽運動公園,体験,,active,,0
無印良品 イオン豊川開運通店,ショップ,●,active,,0
JAひまわり農産物直売所,ショップ,,active,,0
日用品・雑貨 どやすいや,ショップ,,active,,0
豊川稲荷のお守り,アイテム,,active,,0
いなり寿司,アイテム,,active,,0
音羽米,アイテム,,active,,0
とよかわバラ,アイテム,,active,,0
さくらたまご,アイテム,,active,,0
サンヨネ豊川店,スーパー,●,active,,0
フィール豊川店,スーパー,●,active,,0
ピアゴ豊川店,スーパー,●,active,,0
ドミー小坂井店,スーパー,●,active,,0
マックスバリュ豊川八幡店,スーパー,●,active,,0
イオンスタイル豊川,スーパー,●,active,,0
イオン豊川開運通店,スーパー,●,active,,0
業務スーパー豊川御油店,スーパー,,active,,0
クックマート,スーパー,,active,,0
バロー,スーパー,●,active,,0
ウエルシア豊川駅東口店,ドラッグ,●,active,,0
ウエルシア豊川蔵子店,ドラッグ,●,active,,0
ウエルシア豊川中条町店,ドラッグ,●,active,,0
スギ薬局御油店,ドラッグ,●,active,,0
スギ薬局(豊川市内18店舗),ドラッグ,●,active,,0
V・ドラッグ豊川南店,ドラッグ,●,active,,0
V・ドラッグ豊川東店,ドラッグ,●,active,,0
クスリのアオキ,ドラッグ,●,active,,0
マツモトキヨシ,ドラッグ,●,active,,0
カインズ豊川稲荷店,ホムセン,●,active,,0
コメリ,ホムセン,●,active,,0
ユーホー豊川蔵子店,ホムセン,,active,,0
砥鹿神社 奥宮,公共,,active,,0
進雄神社,公共,,active,,0
豊川市民プール,公共,,active,,0
豊川市役所,公共,,active,,0
豊川市図書館,公共,,active,,0
プリオ豊川,公共,,active,,0
