豊川ガイド｜今日のラッキータウン グループ表,,,,,,,,,,
※ 毎週土曜日｜10町ずつ16週で1巡｜町順はランダム｜黄色=2周目から先取り,,,,,,,,,,
,,,,,,,,,,
グループ,町1,町2,町3,町4,町5,町6,町7,町8,町9,町10
第1週,南大通,本野町,豊が丘町,国府町,新宿町,桜ケ丘町,土筒町,谷川町,西口町,新豊町
,ミナミオオドオリ,ホンノチョウ,ユタカガオカチョウ,コウチョウ,シンジュクチョウ,サクラガオカチョウ,ドドウチョウ,ヤガワチョウ,ニシグチチョウ,シンユタカマチ
第2週,四ツ谷町,大木新町通,松原町,平尾町,東名町,赤坂台,馬場町,光陽町,諏訪,金屋本町
,ヨツヤチョウ,オオギシンマチドオリ,マツバラチョウ,ヒラオチョウ,トウメイチョウ,アカサカダイ,ババチョウ,コウヨウチョウ,スワ,カナヤホンマチ
第3週,東上町,赤代町,本野ケ原,三蔵子町,高見町,柑子町,豊栄町,美幸町,白雲町,橋尾町
,トウジョウチョウ,アカシロチョウ,ホンノガハラ,サンゾウゴチョウ,タカミチョウ,コウジチョウ,ホウエイチョウ,ミユキチョウ,シラクモチョウ,ハシオチョウ
第4週,新青馬町,明野町,豊川西町,佐土町,上長山町,豊川仲町,牛久保駅通,美和通,白鳥町,緑町
,シンアオウマチョウ,アケノチョウ,トヨカワニシマチ,サドチョウ,カミナガヤマチョウ,トヨカワナカマチ,ウシクボエキドオリ,ミワドオリ,シロトリチョウ,ミドリマチ
第5週,穂ノ原,豊川栄町,中央通,西桜木町,牧野町,御津町,豊川元町,駅前通,樽井町,新桜町通
,ホノハラ,トヨカワサカエマチ,チュウオウドオリ,ニシサクラギチョウ,マキノチョウ,ミトチョウ,トヨカワモトマチ,エキマエドオリ,タルイチョウ,シンサクラマチドオリ
第6週,佐奈川町,金沢町,瀬木町,蔵子,宿町,中野川町,天神町,美園,久保町,東光町
,サナガワチョウ,カナザワチョウ,セギチョウ,ゾウシ,シュクチョウ,ナカノガワチョウ,テンジンチョウ,ミソノ,クボチョウ,トウコウチョウ
第7週,二葉町,新栄町,江島町,桜町,松風町,曙町,古宿町,向河原町,光明町,若宮町
,フタバチョウ,シンサカエマチ,エジマチョウ,サクラマチ,マツカゼチョウ,アケボノチョウ,フルジュクチョウ,ムコウガワラチョウ,コウメイチョウ,ワカミヤチョウ
第8週,長沢町,東新町,山道町,中条町,金屋元町,東曙町,大橋町,三上町,一宮町,北浦町
,ナガサワチョウ,トウシンチョウ,ヤマミチチョウ,チュウジョウチョウ,カナヤモトマチ,ヒガシアケボノチョウ,オオハシチョウ,ミカミチョウ,イチノミヤチョウ,キタウラチョウ
第9週,弥生町,東桜木町,幸町,大崎町,長草町,千歳通,西豊町,八幡町,西塚町,東豊町
,ヤヨイチョウ,ヒガシサクラギチョウ,サイワイチョウ,オオサキチョウ,ナガクサチョウ,チトセドオリ,ニシユタカマチ,ヤワタチョウ,ニシヅカチョウ,ヒガシユタカマチ
第10週,野口町,西島町,萩山町,金屋橋町,中部町,萩町,森,塔ノ木町,開運通,諏訪西町
,ノグチチョウ,ニシジマチョウ,ハギヤマチョウ,カナヤバシチョウ,チュウブチョウ,ハギチョウ,モリ,トウノギチョウ,カイウンドオリ,スワニシマチ
第11週,御油町,代田町,千両町,光輝町,六角町,伊奈町,平井町,牛久保町,新道町,下長山町
,ゴユチョウ,ダイダチョウ,チギリチョウ,コウキチョウ,ロッカクチョウ,イナチョウ,ヒライチョウ,ウシクボチョウ,シンミチチョウ,シモナガヤマチョウ
第12週,豊川町,旭町,西香ノ木町,川花町,為当町,小桜町,南千両,寿通,院之子町,堺町
,トヨカワチョウ,アサヒマチ,ニシコウノギチョウ,カワハナチョウ,タメトウチョウ,コザクラチョウ,ミナミチギリ,コトブキドオリ,インノコチョウ,サカイマチ
第13週,稲荷通,上野,小坂井町,豊津町,二見町,金屋町,大木町,松久町,当古町,門前町
,イナリドオリ,ウエノ,コザカイチョウ,トヨツチョウ,フタミチョウ,カナヤチョウ,オオギチョウ,マツヒサチョウ,トウゴチョウ,モンゼンチョウ
第14週,国府南,赤坂町,住吉町,花井町,篠田町,西原町,桜木通,若鳩町,正岡町,下野川町
,コウミナミ,アカサカチョウ,スミヨシチョウ,ハナイチョウ,シノダチョウ,ニシバラチョウ,サクラギドオリ,ワカバトチョウ,マサオカチョウ,シモノガワチョウ
第15週,財賀町,小田渕町,麻生田町,市田町,西本町,大堀町,三谷原町,金塚町,行明町,篠束町
,ザイカチョウ,オダブチチョウ,アソウダチョウ,イチダチョウ,ニシホンマチ,オオボリチョウ,ミヤハラチョウ,カナヅカチョウ,ギョウメイチョウ,シノヅカチョウ
第16週,白鳥,末広通,足山田町,金屋西町,南大通,本野町,豊が丘町,国府町,新宿町,桜ケ丘町
,シロトリ,スエヒロドオリ,アシヤマダチョウ,カナヤニシマチ,ミナミオオドオリ,ホンノチョウ,ユタカガオカチョウ,コウチョウ,シンジュクチョウ,サクラガオカチョウ
